rarity_score,shared_title_terms,desc_similarity,career_a,primary_a,secondary_a,career_b,primary_b,secondary_b,salary_a,salary_b
10.31,health mental,0.023,Mental Health Counselor,Aviation & Transportation,"Tech & Engineering,Science & Research,Healthcare & Medicine",Mental Health Program Director,Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",$48k–$72k,$50k–$75k
10.31,health mental,0.077,Mental Health Counselor,Aviation & Transportation,"Tech & Engineering,Science & Research,Healthcare & Medicine",Mental Health App Developer,Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",$48k–$72k,$65k–$150k
10.31,health mental,0.103,Mental Health Counselor,Aviation & Transportation,"Tech & Engineering,Science & Research,Healthcare & Medicine",Social Worker (Mental Health),Social Impact & Nonprofit,"Healthcare & Medicine,Law & Government",$48k–$72k,$40k–$65k
10.31,health mental,0.086,Mental Health Counselor,Aviation & Transportation,"Tech & Engineering,Science & Research,Healthcare & Medicine",Mental Health Advocate,Social Impact & Nonprofit,"Education & Coaching,Healthcare & Medicine",$48k–$72k,$35k–$55k
10.31,health mental,0.047,Mental Health Counselor,Aviation & Transportation,"Tech & Engineering,Science & Research,Healthcare & Medicine",Youth Mental Health Coach,Education & Coaching,"Healthcare & Medicine,Social Impact & Nonprofit",$48k–$72k,$35k–$55k
10.31,health mental,0.024,Mental Health Counselor,Aviation & Transportation,"Tech & Engineering,Science & Research,Healthcare & Medicine",Mental Health Program Coordinator,Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",$48k–$72k,$40k–$65k
10.31,health mental,0.068,Mental Health Counselor,Aviation & Transportation,"Tech & Engineering,Science & Research,Healthcare & Medicine",Mental Health App Developer (Startup),Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",$48k–$72k,$45k–$120k
10.31,health mental,0.108,Mental Health App Entrepreneur,Entrepreneurship,"Tech & Engineering,Healthcare & Medicine",Mental Health Program Director,Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",$45k–$150k,$50k–$75k
10.31,health mental,0.03,Mental Health App Entrepreneur,Entrepreneurship,"Tech & Engineering,Healthcare & Medicine",Mental Health Crisis Counselor,Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",$45k–$150k,$30k–$50k
10.31,health mental,0.053,Mental Health App Entrepreneur,Entrepreneurship,"Tech & Engineering,Healthcare & Medicine",Social Worker (Mental Health),Social Impact & Nonprofit,"Healthcare & Medicine,Law & Government",$45k–$150k,$40k–$65k
10.31,health mental,0.026,Mental Health App Entrepreneur,Entrepreneurship,"Tech & Engineering,Healthcare & Medicine",Youth Mental Health Counselor,Education & Coaching,"Healthcare & Medicine,Social Impact & Nonprofit",$45k–$150k,$35k–$55k
10.31,health mental,0.029,Mental Health App Entrepreneur,Entrepreneurship,"Tech & Engineering,Healthcare & Medicine",Mental Health Advocate,Social Impact & Nonprofit,"Education & Coaching,Healthcare & Medicine",$45k–$150k,$35k–$55k
10.31,health mental,0.053,Mental Health App Entrepreneur,Entrepreneurship,"Tech & Engineering,Healthcare & Medicine",Counselor (Mental Health),Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",$45k–$150k,$48k–$77k
10.31,health mental,0.05,Mental Health App Entrepreneur,Entrepreneurship,"Tech & Engineering,Healthcare & Medicine",Youth Mental Health Coach,Education & Coaching,"Healthcare & Medicine,Social Impact & Nonprofit",$45k–$150k,$35k–$55k
10.31,health mental,0.053,Mental Health App Entrepreneur,Entrepreneurship,"Tech & Engineering,Healthcare & Medicine",Mental Health Program Coordinator,Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",$45k–$150k,$40k–$65k
10.31,health mental,0.118,Mental Health App Founder,Entrepreneurship,"Tech & Engineering,Healthcare & Medicine",Mental Health Program Director,Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",$50k–$150k,$50k–$75k
10.31,health mental,0.033,Mental Health App Founder,Entrepreneurship,"Tech & Engineering,Healthcare & Medicine",Mental Health Crisis Counselor,Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",$50k–$150k,$30k–$50k
10.31,health mental,0.057,Mental Health App Founder,Entrepreneurship,"Tech & Engineering,Healthcare & Medicine",Social Worker (Mental Health),Social Impact & Nonprofit,"Healthcare & Medicine,Law & Government",$50k–$150k,$40k–$65k
10.31,health mental,0.028,Mental Health App Founder,Entrepreneurship,"Tech & Engineering,Healthcare & Medicine",Youth Mental Health Counselor,Education & Coaching,"Healthcare & Medicine,Social Impact & Nonprofit",$50k–$150k,$35k–$55k
10.31,health mental,0.032,Mental Health App Founder,Entrepreneurship,"Tech & Engineering,Healthcare & Medicine",Mental Health Advocate,Social Impact & Nonprofit,"Education & Coaching,Healthcare & Medicine",$50k–$150k,$35k–$55k
10.31,health mental,0.057,Mental Health App Founder,Entrepreneurship,"Tech & Engineering,Healthcare & Medicine",Counselor (Mental Health),Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",$50k–$150k,$48k–$77k
10.31,health mental,0.054,Mental Health App Founder,Entrepreneurship,"Tech & Engineering,Healthcare & Medicine",Youth Mental Health Coach,Education & Coaching,"Healthcare & Medicine,Social Impact & Nonprofit",$50k–$150k,$35k–$55k
10.31,health mental,0.057,Mental Health App Founder,Entrepreneurship,"Tech & Engineering,Healthcare & Medicine",Mental Health Program Coordinator,Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",$50k–$150k,$40k–$65k
10.31,health mental,0.188,Mental Health Program Director,Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",Mental Health App Developer,Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",$50k–$75k,$65k–$150k
10.31,health mental,0.162,Mental Health Program Director,Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",Mental Health App Developer (Startup),Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",$50k–$75k,$45k–$120k
10.31,health mental,0.033,Mental Health App Developer,Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",Mental Health Crisis Counselor,Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",$65k–$150k,$30k–$50k
10.31,health mental,0.088,Mental Health App Developer,Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",Social Worker (Mental Health),Social Impact & Nonprofit,"Healthcare & Medicine,Law & Government",$65k–$150k,$40k–$65k
10.31,health mental,0.028,Mental Health App Developer,Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",Youth Mental Health Counselor,Education & Coaching,"Healthcare & Medicine,Social Impact & Nonprofit",$65k–$150k,$35k–$55k
10.31,health mental,0.143,Mental Health App Developer,Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",Mental Health Advocate,Social Impact & Nonprofit,"Education & Coaching,Healthcare & Medicine",$65k–$150k,$35k–$55k
10.31,health mental,0.121,Mental Health App Developer,Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",Counselor (Mental Health),Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",$65k–$150k,$48k–$77k
10.31,health mental,0.114,Mental Health App Developer,Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",Youth Mental Health Coach,Education & Coaching,"Healthcare & Medicine,Social Impact & Nonprofit",$65k–$150k,$35k–$55k
10.31,health mental,0.088,Mental Health App Developer,Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",Mental Health Program Coordinator,Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",$65k–$150k,$40k–$65k
10.31,health mental,0.029,Mental Health Crisis Counselor,Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",Mental Health App Developer (Startup),Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",$30k–$50k,$45k–$120k
10.31,health mental,0.105,Social Worker (Mental Health),Social Impact & Nonprofit,"Healthcare & Medicine,Law & Government",Mental Health App Developer (Startup),Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",$40k–$65k,$45k–$120k
10.31,health mental,0.024,Youth Mental Health Counselor,Education & Coaching,"Healthcare & Medicine,Social Impact & Nonprofit",Mental Health App Developer (Startup),Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",$35k–$55k,$45k–$120k
10.31,health mental,0.088,Mental Health Advocate,Social Impact & Nonprofit,"Education & Coaching,Healthcare & Medicine",Mental Health App Developer (Startup),Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",$35k–$55k,$45k–$120k
10.31,health mental,0.105,Counselor (Mental Health),Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",Mental Health App Developer (Startup),Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",$48k–$77k,$45k–$120k
10.31,health mental,0.073,Youth Mental Health Coach,Education & Coaching,"Healthcare & Medicine,Social Impact & Nonprofit",Mental Health App Developer (Startup),Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",$35k–$55k,$45k–$120k
10.31,health mental,0.105,Mental Health Program Coordinator,Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",Mental Health App Developer (Startup),Entrepreneurship,"Healthcare & Medicine,Tech & Engineering",$40k–$65k,$45k–$120k
10.3,live sound,0.027,Live Event Sound Engineer,Arts & Performance,"Hospitality & Events,Tech & Engineering",Sound Designer (Live Theater),Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",$35k–$75k,$35k–$65k
10.3,live sound,0.031,Live Performance Sound Engineer,Hospitality & Events,"Food & Culinary,Marketing & Communications,Arts & Performance",Sound Designer (Live Theater),Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",$35k–$75k,$35k–$65k
10.3,live sound,0.152,Sound Designer (Live Theater),Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Live Sound Engineer,Hospitality & Events,"Food & Culinary,Marketing & Communications,Arts & Performance",$35k–$65k,$35k–$75k
10.29,buyer media,0.176,Media Buyer (Digital Advertising),Media & Journalism,"Business & Finance,Tech & Engineering",Media Buyer,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$55k–$90k,$50k–$95k
10.29,buyer media,0.654,Media Buyer,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Media Buyer (Advertising),Media & Journalism,"Business & Finance,Design & Creative",$50k–$95k,$45k–$85k
10.29,saas software,0.125,SaaS Accounting Software Founder,Entrepreneurship,"Tech & Engineering,Business & Finance",Software-as-a-Service (SaaS) Consultant,Arts & Performance,"Media & Journalism,Design & Creative,Architecture & Urban Planning",$0–$500k+,$65k–$120k
10.29,athletic trainer,0.118,Athletic Trainer (Injury Prevention),Sports & Fitness,"Healthcare & Medicine,Education & Coaching",Certified Athletic Trainer,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",$35k–$50k,$32k–$65k
10.29,athletic trainer,0.462,Athletic Trainer (Collegiate),Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Science & Research",Certified Athletic Trainer,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",$35k–$60k,$32k–$65k
10.29,athletic trainer,0.233,Athletic Trainer (College),Sports & Fitness,"Healthcare & Medicine,Education & Coaching",Certified Athletic Trainer,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",$48k–$77k,$32k–$65k
10.29,athletic trainer,0.258,Athletic Trainer (Professional Teams),Sports & Fitness,"Healthcare & Medicine,Education & Coaching",Certified Athletic Trainer,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",$45k–$75k,$32k–$65k
10.29,athletic trainer,0.267,Athletic Trainer (College Sports),Sports & Fitness,"Healthcare & Medicine,Education & Coaching",Certified Athletic Trainer,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",$40k–$65k,$32k–$65k
10.29,athletic trainer,0.258,Athletic Trainer (Professional Sports),Sports & Fitness,"Healthcare & Medicine,Education & Coaching",Certified Athletic Trainer,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",$55k–$90k,$32k–$65k
10.29,athletic trainer,0.091,Athletic Trainer (Youth),Sports & Fitness,"Education & Coaching,Healthcare & Medicine",Certified Athletic Trainer,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",$35k–$65k,$32k–$65k
10.29,athletic trainer,0.172,Certified Athletic Trainer,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",Athletic Trainer (Sports Medicine),Sports & Fitness,"Healthcare & Medicine,Education & Coaching",$32k–$65k,$35k–$60k
10.29,athletic trainer,0.128,Certified Athletic Trainer,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",Athletic Trainer,Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Science & Research",$32k–$65k,$40k–$65k
10.29,athletic trainer,0.188,Certified Athletic Trainer,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",Personal Athletic Trainer,Sports & Fitness,"Healthcare & Medicine,Education & Coaching",$32k–$65k,$40k–$70k
10.29,athletic trainer,0.156,Certified Athletic Trainer,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",Athletic Trainer (High School),Sports & Fitness,"Education & Coaching,Healthcare & Medicine",$32k–$65k,$35k–$55k
10.29,athletic trainer,0.241,Certified Athletic Trainer,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",Athletic Trainer (High School/College),Sports & Fitness,"Healthcare & Medicine,Education & Coaching",$32k–$65k,$35k–$65k
10.28,experience guest,0.023,Guest Experience Analyst,Business & Finance,"Entrepreneurship,Tech & Engineering,Science & Research",Guest Experience Manager (Hotel),Hospitality & Events,"Food & Culinary,Marketing & Communications",$50k–$85k,$32k–$55k
10.28,experience guest,0.0,Guest Experience Analyst,Business & Finance,"Entrepreneurship,Tech & Engineering,Science & Research",Guest Experience Manager,Hospitality & Events,"Food & Culinary,Marketing & Communications,Science & Research",$50k–$85k,$40k–$65k
10.28,experience reality,0.31,Augmented Reality Experience Designer,Design & Creative,"Tech & Engineering,Media & Journalism",Virtual Reality Experience Creator,Entrepreneurship,"Business & Finance,Tech & Engineering,Architecture & Urban Planning",$60k–$110k,$45k–$120k
10.28,franchise operations,0.057,Franchise Operations Consultant,Entrepreneurship,"Business & Finance,Education & Coaching",Sports Franchise Operations Manager,Sports & Fitness,"Business & Finance,Hospitality & Events",$60k–$110k,$45k–$120k
10.28,franchise operations,0.061,Sports Franchise Operations Manager,Sports & Fitness,"Business & Finance,Hospitality & Events",Franchise Operations Manager,Entrepreneurship,"Business & Finance,Hospitality & Events",$45k–$120k,$50k–$85k
10.28,creator subscription,0.026,Subscription Box Creator,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Subscription App Creator,Entrepreneurship,"Tech & Engineering,Business & Finance",$30k–$100k,$45k–$150k
10.28,sound theater,0.148,Sound Designer (Theater),Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Architecture & Urban Planning",Sound Designer (Live Theater),Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",$35k–$75k,$35k–$65k
10.28,counselor school,0.029,Career Counselor (School),Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Social Impact & Nonprofit",Medical School Admissions Counselor,Education & Coaching,"Social Impact & Nonprofit,Tech & Engineering,Architecture & Urban Planning",$37k–$63k,$50k–$85k
10.28,counselor school,0.086,Career Counselor (School),Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Social Impact & Nonprofit",School Counselor,Education & Coaching,"Social Impact & Nonprofit,Tech & Engineering,Healthcare & Medicine",$37k–$63k,$50k–$80k
10.28,counselor school,0.261,Career Counselor (School),Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Social Impact & Nonprofit",High School Guidance Counselor,Education & Coaching,"Social Impact & Nonprofit,Business & Finance",$37k–$63k,$42k–$65k
10.27,commerce entrepreneur,0.118,Social Commerce Entrepreneur,Marketing & Communications,"Business & Finance,Design & Creative,Media & Journalism",Craft E-Commerce Entrepreneur,Entrepreneurship,"Design & Creative,Business & Finance",$45k–$150k,$40k–$120k
10.27,commerce entrepreneur,0.161,Social Commerce Entrepreneur,Marketing & Communications,"Business & Finance,Design & Creative,Media & Journalism",Handmade Goods E-commerce Entrepreneur,Entrepreneurship,"Design & Creative,Business & Finance",$45k–$150k,$40k–$120k
10.27,commerce entrepreneur,0.139,Social Commerce Entrepreneur,Marketing & Communications,"Business & Finance,Design & Creative,Media & Journalism",Niche E-commerce Entrepreneur,Entrepreneurship,"Business & Finance,Tech & Engineering,Science & Research",$45k–$150k,$20k–$150k
10.27,commerce entrepreneur,0.091,Craft E-Commerce Entrepreneur,Entrepreneurship,"Design & Creative,Business & Finance",Social Media Commerce Entrepreneur,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$40k–$120k,$40k–$120k
10.27,commerce entrepreneur,0.171,Craft E-Commerce Entrepreneur,Entrepreneurship,"Design & Creative,Business & Finance",E-commerce Entrepreneur,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$40k–$120k,$35k–$200k
10.27,commerce entrepreneur,0.133,Handmade Goods E-commerce Entrepreneur,Entrepreneurship,"Design & Creative,Business & Finance",Social Media Commerce Entrepreneur,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$40k–$120k,$40k–$120k
10.27,commerce entrepreneur,0.258,Handmade Goods E-commerce Entrepreneur,Entrepreneurship,"Design & Creative,Business & Finance",E-commerce Entrepreneur,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$40k–$120k,$35k–$200k
10.27,commerce entrepreneur,0.114,Niche E-commerce Entrepreneur,Entrepreneurship,"Business & Finance,Tech & Engineering,Science & Research",Social Media Commerce Entrepreneur,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$20k–$150k,$40k–$120k
10.27,commerce entrepreneur,0.158,Niche E-commerce Entrepreneur,Entrepreneurship,"Business & Finance,Tech & Engineering,Science & Research",E-commerce Entrepreneur,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$20k–$150k,$35k–$200k
10.27,commerce entrepreneur,0.242,Social Media Commerce Entrepreneur,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",E-commerce Entrepreneur,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$40k–$120k,$35k–$200k
10.27,artist installation,0.207,Performance Artist (Live Installation),Arts & Performance,"Design & Creative,Hospitality & Events",Installation Artist,Environment & Sustainability,"Science & Research,Law & Government,Architecture & Urban Planning",$35k–$75k,$35k–$75k
10.27,artist installation,0.172,Performance Artist (Installation),Arts & Performance,"Design & Creative,Tech & Engineering",Installation Artist,Environment & Sustainability,"Science & Research,Law & Government,Architecture & Urban Planning",$35k–$75k,$35k–$75k
10.27,artist installation,0.138,Museum Installation Artist,Arts & Performance,"Design & Creative,Hospitality & Events",Installation Artist,Environment & Sustainability,"Science & Research,Law & Government,Architecture & Urban Planning",$40k–$65k,$35k–$75k
10.27,artist installation,0.185,Gallery Installation Artist,Arts & Performance,"Design & Creative,Hospitality & Events",Installation Artist,Environment & Sustainability,"Science & Research,Law & Government,Architecture & Urban Planning",$32k–$65k,$35k–$75k
10.27,artist installation,0.179,Interactive Installation Artist,Design & Creative,"Tech & Engineering,Arts & Performance",Installation Artist,Environment & Sustainability,"Science & Research,Law & Government,Architecture & Urban Planning",$45k–$85k,$35k–$75k
10.27,artist installation,0.138,Immersive Installation Artist,Design & Creative,"Arts & Performance,Tech & Engineering",Installation Artist,Environment & Sustainability,"Science & Research,Law & Government,Architecture & Urban Planning",$45k–$85k,$35k–$75k
10.27,artist installation,0.222,Performance Art Installation Artist,Arts & Performance,"Design & Creative,Hospitality & Events",Installation Artist,Environment & Sustainability,"Science & Research,Law & Government,Architecture & Urban Planning",$35k–$75k,$35k–$75k
10.27,career development,0.179,Career Development Specialist,Education & Coaching,"Social Impact & Nonprofit,Business & Finance",Life Coach (Career Development),Sports & Fitness,"Healthcare & Medicine,Marketing & Communications",$42k–$70k,$40k–$65k
10.26,live production,0.083,Live Streaming Production Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Live Event Production Coordinator,Arts & Performance,"Hospitality & Events,Business & Finance",$45k–$75k,$35k–$65k
10.26,live production,0.077,Live Streaming Production Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Live Event Production Designer,Arts & Performance,"Design & Creative,Hospitality & Events",$45k–$75k,$45k–$85k
10.26,hotel sustainability,0.316,Hotel Sustainability Coordinator,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Hotel Sustainability Manager,Hospitality & Events,"Environment & Sustainability,Business & Finance",$45k–$80k,$48k–$77k
10.24,dance instructor,0.028,Dance Instructor (Classical Ballet),Education & Coaching,"Arts & Performance,Sports & Fitness",Dance Fitness Instructor,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",$30k–$65k,$28k–$55k
10.24,dance instructor,0.091,Dance Instructor (Ballroom),Sports & Fitness,"Arts & Performance,Education & Coaching",Dance Fitness Instructor,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",$28k–$50k,$28k–$55k
10.24,dance instructor,0.056,Dance Instructor,Education & Coaching,"Arts & Performance,Sports & Fitness",Dance Fitness Instructor,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",$30k–$55k,$28k–$55k
10.24,dance instructor,0.059,Dance Fitness Instructor,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Dance Instructor (Youth Programs),Education & Coaching,"Arts & Performance,Sports & Fitness",$28k–$55k,$28k–$50k
10.24,dance instructor,0.028,Dance Fitness Instructor,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Dance Movement Therapy Instructor,Arts & Performance,"Healthcare & Medicine,Social Impact & Nonprofit",$28k–$55k,$35k–$65k
10.24,packaging product,0.286,Product Packaging Designer,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Beauty Product Packaging Designer,Fashion & Beauty,"Design & Creative,Entrepreneurship",$50k–$85k,$50k–$85k
10.23,language teacher,0.105,Language Immersion Teacher,Education & Coaching,"Arts & Performance,Social Impact & Nonprofit",ESL (English as Second Language) Teacher,Environment & Sustainability,"Science & Research,Law & Government,Architecture & Urban Planning",$40k–$65k,$35k–$65k
10.23,language teacher,0.05,Language Arts Teacher,Education & Coaching,"Media & Journalism,Social Impact & Nonprofit",ESL (English as Second Language) Teacher,Environment & Sustainability,"Science & Research,Law & Government,Architecture & Urban Planning",$40k–$75k,$35k–$65k
10.23,language teacher,0.028,Language Arts Teacher (Secondary),Education & Coaching,"Media & Journalism,Social Impact & Nonprofit",ESL (English as Second Language) Teacher,Environment & Sustainability,"Science & Research,Law & Government,Architecture & Urban Planning",$40k–$70k,$35k–$65k
10.21,health worker,0.098,Community Health Worker,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Social Worker (Mental Health),Social Impact & Nonprofit,"Healthcare & Medicine,Law & Government",$38k–$56k,$40k–$65k
10.19,online platform,0.026,Online Community Platform Founder,Entrepreneurship,"Tech & Engineering,Media & Journalism",Online Learning Platform Manager,Education & Coaching,"Tech & Engineering,Business & Finance",$45k–$150k,$60k–$95k
10.19,online platform,0.056,Online Fitness Platform Founder,Entrepreneurship,"Tech & Engineering,Sports & Fitness",Online Learning Platform Manager,Education & Coaching,"Tech & Engineering,Business & Finance",$45k–$150k,$60k–$95k
10.19,online platform,0.026,Online Fitness Platform Founder,Entrepreneurship,"Tech & Engineering,Sports & Fitness",Video Journalist (Online News Platform),Media & Journalism,"Tech & Engineering,Design & Creative",$45k–$150k,$35k–$65k
10.19,online platform,0.023,Online Education Platform Creator,Entrepreneurship,"Tech & Engineering,Education & Coaching",Video Journalist (Online News Platform),Media & Journalism,"Tech & Engineering,Design & Creative",$65k–$150k,$35k–$65k
10.19,online platform,0.105,Course Creator (Online Education Platform),Entrepreneurship,"Education & Coaching,Design & Creative",Video Journalist (Online News Platform),Media & Journalism,"Tech & Engineering,Design & Creative",$45k–$120k,$35k–$65k
10.19,online platform,0.026,Online Learning Platform Manager,Education & Coaching,"Tech & Engineering,Business & Finance",Video Journalist (Online News Platform),Media & Journalism,"Tech & Engineering,Design & Creative",$60k–$95k,$35k–$65k
10.19,online platform,0.029,Online Education Platform Founder,Entrepreneurship,"Tech & Engineering,Education & Coaching",Video Journalist (Online News Platform),Media & Journalism,"Tech & Engineering,Design & Creative",$50k–$200k+,$35k–$65k
10.18,live streaming,0.216,Live Event Streaming Director,Arts & Performance,"Media & Journalism,Hospitality & Events",Live Streaming Production Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$45k–$85k,$45k–$75k
10.18,live streaming,0.243,Live Streaming Production Coordinator,Arts & Performance,"Tech & Engineering,Hospitality & Events",Live Streaming Director,Media & Journalism,"Tech & Engineering,Design & Creative",$35k–$65k,$45k–$85k
10.18,live streaming,0.108,Live Streaming Production Coordinator,Arts & Performance,"Tech & Engineering,Hospitality & Events",Live Streaming Producer,Media & Journalism,"Tech & Engineering,Design & Creative",$35k–$65k,$35k–$75k
10.18,live streaming,0.27,Live Streaming Director,Media & Journalism,"Tech & Engineering,Design & Creative",Live Streaming Production Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$45k–$85k,$45k–$75k
10.18,live streaming,0.162,Live Streaming Technical Producer,Arts & Performance,"Tech & Engineering,Media & Journalism",Live Streaming Production Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$35k–$65k,$45k–$75k
10.18,live streaming,0.189,Live Streaming Producer (Esports),Arts & Performance,"Tech & Engineering,Media & Journalism",Live Streaming Production Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$35k–$75k,$45k–$75k
10.18,live streaming,0.237,Live Streaming Director (Performance),Arts & Performance,"Media & Journalism,Tech & Engineering",Live Streaming Production Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$45k–$75k,$45k–$75k
10.18,live streaming,0.171,Live Streaming Production Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Live Streaming Producer (Entertainment),Arts & Performance,"Tech & Engineering,Media & Journalism",$45k–$75k,$35k–$85k
10.18,live streaming,0.278,Live Streaming Production Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Live Streaming Producer (Events),Arts & Performance,"Media & Journalism,Hospitality & Events",$45k–$75k,$45k–$75k
10.18,live streaming,0.167,Live Streaming Production Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Live Streaming Producer (Theater),Arts & Performance,"Tech & Engineering,Media & Journalism",$45k–$75k,$35k–$65k
10.18,live streaming,0.206,Live Streaming Production Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Live Streaming Producer (Arts),Arts & Performance,"Tech & Engineering,Media & Journalism",$45k–$75k,$35k–$65k
10.18,live streaming,0.243,Live Streaming Production Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Live Streaming Producer (Performance),Arts & Performance,"Media & Journalism,Tech & Engineering",$45k–$75k,$35k–$75k
10.18,live streaming,0.2,Live Streaming Production Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Live Streaming Producer,Media & Journalism,"Tech & Engineering,Design & Creative",$45k–$75k,$35k–$75k
10.18,live streaming,0.211,Live Streaming Production Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Live Streaming Producer (Performance Arts),Arts & Performance,"Tech & Engineering,Media & Journalism",$45k–$75k,$35k–$75k
10.18,live streaming,0.312,Live Streaming Production Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Live Streaming Producer (Music/Theater),Arts & Performance,"Tech & Engineering,Media & Journalism",$45k–$75k,$35k–$75k
